+--------------+----------------+-----------------+--------------------------------+--------------------------------------+
| dataset_name | local_label_id | global_label_id |        positive_meaning        |           negative_meaning           |
|    market    |       5        |       129       |    with brown lower-clothes    |     without brown lower-clothes      |
|    market    |       6        |       130       |    with gray lower-clothes     |      without gray lower-clothes      |
|    market    |       7        |       131       |    with green lower-clothes    |     without green lower-clothes      |
|    market    |       8        |       132       |    with pink lower-clothes     |      without pink lower-clothes      |
|    market    |       9        |       133       |   with purple lower-clothes    |     without purple lower-clothes     |
|    market    |       10       |       134       |    with white lower-clothes    |     without white lower-clothes      |
|    market    |       11       |       135       |   with yellow lower-clothes    |     without yellow lower-clothes     |
|    market    |       12       |       136       |    with black upper-clothes    |     without black upper-clothes      |
|    market    |       13       |       137       |    with blue upper-clothes     |      without blue upper-clothes      |
|    market    |       14       |       138       |    with green upper-clothes    |     without green upper-clothes      |
|    market    |       15       |       139       |    with gray upper-clothes     |      without gray upper-clothes      |
|    market    |       16       |       140       |   with purple upper-clothes    |     without purple upper-clothes     |
|    market    |       17       |       141       |     with red upper-clothes     |      without red upper-clothes       |
|    market    |       18       |       142       |    with white upper-clothes    |     without white upper-clothes      |
|    market    |       19       |       143       |   with yellow upper-clothes    |     without yellow upper-clothes     |
|    market    |       20       |       144       |           with pants           |              with dress              |
|    market    |       21       |       145       | with short lower body clothing |    with long lower body clothing     |
|    market    |       22       |       146       | with short upper body clothing | with long sleeve upper body clothing |
|    market    |       23       |       147       |         with long hair         |           with short hair            |
|    market    |       24       |       148       |           with a hat           |            without a hat             |
|    market    |       25       |       149       |             female             |                 male                 |
|    market    |       26       |       150       |         a young person         |          not a young person          |
|    market    |       27       |       151       |           a teenager           |            not a teenager            |
|    market    |       28       |       152       |            an adult            |             not an adult             |
|    market    |       29       |       153       |         an old person          |          not an old person           |
|    HARDHC    |       0        |       154       |              male              |                female                |
|    HARDHC    |       1        |       155       |         with long hair         |           with short hair            |
|    HARDHC    |       2        |       156       |         with sunglass          |           without sunglass           |
|    HARDHC    |       3        |       157       |           with a hat           |            without a hat             |
|    HARDHC    |       4        |       158       |          with T-skirt          |           without T-skirt            |
|    HARDHC    |       5        |       159       |       with long sleeves        |         without long sleeves         |
|    HARDHC    |       6        |       160       |      with formal clothes       |        without formal clothes        |
|    HARDHC    |       7        |       161       |      with short trousers       |        without short trousers        |
|    HARDHC    |       8        |       162       |           with jeans           |            without jeans             |
|    HARDHC    |       9        |       163       |        with long pants         |          without long pants          |
|    HARDHC    |       10       |       164       |           with skirt           |            without skirt             |
|    HARDHC    |       11       |       165       |         with face mask         |          without face mask           |
|    HARDHC    |       12       |       166       |       with logo clothes        |         without logo clothes         |
|    HARDHC    |       13       |       167       |      with stripe clothes       |        without stripe clothes        |
+--------------+----------------+-----------------+--------------------------------+--------------------------------------+
